瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
匡釜档,2004, , ,2004-09-15,5老, , ,2004-10-20,-3老,2004-10-30,-5老, , , , , , ,2004-10-25,6老,2004-11-02,-1老, , , , , , ,2005-01-18,21老,2005-01-28,-18老, , , , , , 
匡釜档,2005, , ,2005-09-17,7老, , ,2005-10-22,-1老,2005-10-31,-4老, , , , , , ,2005-10-26,7老,2005-11-03,0老, , , , , , ,2006-01-15,18老,2006-03-24,37老, , , , , , 
匡釜档,2006,2006-04-26, ,2006-09-08,-2老, , ,2006-10-19,-4老,2006-10-27,-8老, , , , , , ,2006-10-22,3老,2006-10-31,-3老, , , , , , ,搬螟,—,搬螟,—, , , , , , 
匡釜档,2007, , ,2007-09-27,17老, , ,2007-10-21,-2老,2007-11-03,-1老, , , , , , ,2007-10-21,2老,2007-11-02,-1老, , , , , , ,2007-11-23,-35老,2008-03-08,22老, , , , , , 
匡釜档,2008, , ,2008-08-25,-16老, , ,2008-10-26,3老,2008-11-08,4老, , , , , , ,2008-10-25,6老,2008-11-09,6老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2009, , ,2009-08-24,-17老, , ,2009-10-19,-4老,2009-10-31,-4老, , , , , , ,2009-10-17,-2老,2009-10-31,-3老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2010, , ,2010-09-03,-7老, , ,2010-10-30,7老,2010-11-05,1老, , , , , , ,2010-10-30,11老,2010-11-05,2老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2011, , ,2011-09-02,-8老, , ,2011-10-31,8老,2011-11-11,7老, , , , , , ,2011-10-31,12老,2011-11-14,11老, , , , , , ,2011-12-17,-11老,包螟 救凳,—, , , , , , 
匡釜档,2012, , ,2012-08-27,-14老, , ,2012-10-27,4老,2012-11-09,5老, , , , , , ,2012-10-19,0老,2012-11-05,2老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2013, , ,2013-09-13,3老, , ,2013-10-25,2老,2013-11-06,2老, , , , , , ,2013-10-17,-2老,2013-11-05,2老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2014, , , , , , ,2014-10-12,-11老,2014-10-31,-4老, , , , , , ,2014-10-12,-7老,2014-10-31,-3老, , , , , , ,2015-03-08,70老,2015-03-08,21老, , , , , , 
匡釜档,2015, , ,2015-09-08,-2老,2015-09-13, ,2015-10-31,8老,2015-11-12,8老, , , , , , ,2015-10-15,-4老,2015-11-04,1老, , , , , , ,2015-11-29,-29老,2016-01-01,-45老, , , , , , 
匡釜档,2016, , ,2016-09-10,0老,2016-09-15, ,2016-10-29,6老,2016-11-07,3老, , , , , , ,2016-10-19,0老,2016-11-02,-1老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2017, , ,2017-09-09,-1老,2017-09-14, ,2017-10-31,8老,2017-11-06,2老, , , , , , ,2017-10-23,4老,2017-11-05,2老, , , , , , ,2018-01-06,9老,2018-03-17,30老, , , , , , 
匡釜档,2018, , ,2018-09-11,1老,2018-09-13, ,2018-10-10,-13老,2018-10-29,-6老, , , , , , ,2018-10-02,-17老,2018-10-27,-7老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2019, , ,2019-09-12,2老,2019-09-15, ,2019-10-17,-6老,2019-11-01,-3老, , , , , , ,2019-10-09,-10老,2019-10-28,-6老, , , , , , ,2020-03-06,68老,2020-03-06,20老, , , , , , 
匡釜档,2020, , ,2020-09-08,-2老,2020-09-13, ,2020-10-23,0老,2020-11-04,0老, , , , , , ,2020-10-13,-6老,2020-11-01,-2老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
匡釜档,2021, , ,2021-09-08,-2老,2021-09-15, ,2021-10-22,-1老,2021-11-05,1老, , , , , , ,2021-10-19,0老,2021-10-28,-6老, , , , , , ,2021-11-28,-30老,2022-02-11,-4老, , , , , , 
匡釜档,2022, , ,2022-09-07,-3老,2022-09-14, ,2022-10-29,6老,2022-11-11,7老, , , , , , ,2022-10-17,-2老,2022-10-25,-9老, , , , , , ,2023-02-27,61老,2023-02-27,12老, , , , , , 
匡釜档,2023,2023-08-27, ,2023-08-31,-10老,2023-09-03, ,2023-10-25,2老,2023-11-09,5老, , , , , , ,2023-10-16,-3老,2023-10-23,-11老, , , , , , ,2024-03-27,89老,2024-03-27,41老, , , , , , 
匡釜档,2024, , , , , , , , , , , , , , , , , , , , , , , , , , ,2024-03-27,89老, , , , , , , , 
匡柳,2004,2004-04-26,-7老,2004-09-03,5老, , ,2004-10-25,4老,2004-11-05,3老, , , , , , ,2004-10-25,4老,2004-11-05,3老, , , , , , ,2004-11-13,3老,2005-04-04,10老, , , , , , 
匡柳,2005,2005-04-19,-14老,2005-09-01,3老, , ,2005-10-29,8老,2005-11-04,2老, , , , , , ,2005-10-22,1老,2005-11-07,5老, , , , , , ,2005-11-15,5老,2006-03-24,-1老, , , , , , 
匡柳,2006,2006-04-25,-8老,2006-09-09,11老, , ,2006-10-28,7老,2006-11-04,2老, , , , , , ,2006-10-28,7老,2006-11-04,2老, , , , , , ,2006-11-16,6老,2007-04-05,11老, , , , , , 
匡柳,2007,2007-04-29,-4老,2007-09-10,12老, , ,2007-10-21,0老,2007-11-02,0老, , , , , , ,2007-10-21,0老,2007-11-02,0老, , , , , , ,2007-11-02,-8老,2008-03-28,3老, , , , , , 
匡柳,2008, , ,2008-09-12,14老, , ,2008-10-26,5老,2008-11-05,3老, , , , , , ,2008-10-30,9老,2008-11-07,5老, , , , , , ,2008-11-26,16老,2009-04-01,7老, , , , , , 
匡柳,2009, , ,2009-08-25,-4老, , ,2009-10-21,0老,2009-10-29,-4老, , , , , , ,2009-10-21,0老,2009-10-29,-4老, , , , , , ,2009-11-03,-7老,2010-02-02,-51老, , , , , , 
匡柳,2010, , ,2010-09-01,3老, , ,2010-10-10,-11老,2010-10-23,-10老, , , , , , ,2010-10-14,-7老,2010-10-26,-7老, , , , , , ,2010-11-16,6老,2011-03-26,1老, , , , , , 
匡柳,2011,搬螟,—,2011-08-29,0老, , ,2011-10-11,-10老,2011-10-24,-9老, , , , , , ,2011-10-13,-8老,2011-10-26,-7老, , , , , , ,2011-10-26,-15老,2012-04-07,13老, , , , , , 
匡柳,2012, , ,2012-08-26,-3老, , ,2012-10-21,0老,2012-11-03,1老, , , , , , ,2012-10-21,0老,2012-11-03,1老, , , , , , ,2012-11-02,-8老,2013-04-03,9老, , , , , , 
匡柳,2013,搬螟,—,2013-08-12,-17老, , ,2013-10-20,-1老,2013-11-05,3老, , , , , , ,2013-10-20,-1老,2013-11-05,3老, , , , , , ,2013-11-12,2老,2014-03-11,-14老, , , , , , 
匡柳,2014, , ,2014-08-22,-7老, , ,2014-10-16,-5老,2014-11-01,-1老, , , , , , ,2014-10-19,-2老,2014-11-04,2老, , , , , , ,2014-11-15,5老, , , , , , , , 
狼己,2004, , ,2004-09-17,8老, , ,2004-10-20,1老,2004-10-23,-4老, , , , , , ,2004-10-22,0老,2004-10-25,-4老, , , , , , ,2004-10-13,-6老,2005-05-10,17老, , , , , , 
狼己,2005, , ,2005-09-10,1老, , ,2005-10-25,6老,2005-10-28,1老, , , , , , ,2005-10-27,5老,2005-10-31,2老, , , , , , ,2005-10-17,-2老,2006-04-25,2老, , , , , , 
狼己,2006, , ,2006-09-01,-8老, , ,2006-10-27,8老,2006-11-02,6老, , , , , , ,2006-10-30,8老,2006-11-06,8老, , , , , , ,2006-10-31,12老,2007-04-28,5老, , , , , , 
狼己,2007, , ,2007-09-06,-3老, , ,2007-10-27,8老, , , , , , , , ,2007-10-28,6老, , , , , , , , ,2007-10-21,2老,2008-04-28,5老, , , , , , 
狼己,2008, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-13,-6老, , , , , , , , 
器亲,2004,2004-04-01,-29老,2004-09-02,-8老, , ,2004-10-23,-2老,2004-11-05,-1老, , , , , , ,2004-10-23,1老,2004-11-05,0老, , , , , , ,2004-12-09,-4老,2005-02-25,1老, , , , , , 
器亲,2005,2005-04-10,-20老,2005-09-07,-3老, , ,2005-10-24,-1老,2005-11-02,-4老, , , , , , ,2005-10-25,3老,2005-11-04,-1老, , , , , , ,2006-01-17,35老,2006-02-25,1老, , , , , , 
器亲,2006, , ,2006-09-14,4老, , ,2006-10-25,0老,2006-10-31,-6老, , , , , , ,2006-10-25,3老,2006-10-31,-5老, , , , , , ,2006-12-05,-8老,2007-03-01,5老, , , , , , 
器亲,2007, , ,2007-09-10,0老, , ,2007-10-22,-3老,2007-10-29,-8老, , , , , , ,2007-10-22,0老,2007-10-29,-7老, , , , , , ,2008-03-05,82老,2008-03-08,13老, , , , , , 
器亲,2008, , ,2008-09-15,5老, , ,2008-10-26,1老,2008-11-04,-2老, , , , , , ,2008-10-26,4老,2008-11-04,-1老, , , , , , ,2008-12-16,3老,2009-01-17,-38老, , , , , , 
器亲,2009, , ,2009-09-20,10老, , ,2009-10-22,-3老,2009-10-31,-6老, , , , , , ,2009-10-22,0老,2009-10-31,-5老, , , , , , ,2009-12-24,11老,2010-02-21,-3老, , , , , , 
器亲,2010, , ,2010-08-26,-15老, , ,2010-10-26,1老,2010-11-04,-2老, , , , , , ,2010-10-26,4老,2010-11-04,-1老, , , , , , ,2010-11-18,-25老,2011-02-19,-5老, , , , , , 
器亲,2011, , ,2011-09-07,-3老, , ,2011-10-26,1老,2011-11-04,-2老, , , , , , ,2011-10-26,4老,2011-11-04,-1老, , , , , , ,2011-11-26,-17老,2012-02-13,-11老, , , , , , 
器亲,2012, , ,2012-09-19,9老, , ,2012-10-24,-1老,2012-11-04,-2老, , , , , , ,2012-10-23,1老,2012-11-04,-1老, , , , , , ,2012-12-16,3老,2013-01-31,-24老, , , , , , 
器亲,2013, , ,2013-09-15,5老, , ,2013-10-24,-1老,2013-11-04,-2老, , , , , , ,2013-10-23,1老,2013-11-03,-2老, , , , , , ,2013-11-22,-21老,2014-03-22,26老, , , , , , 
器亲,2014, , ,2014-09-16,6老, , ,2014-10-17,-8老,2014-11-06,0老, , , , , , ,2014-10-16,-6老,2014-11-04,-1老, , , , , , ,2014-12-29,16老,2015-03-08,12老, , , , , , 
器亲,2015, , ,2015-08-30,-11老,2015-09-05,-18老,2015-10-25,0老,2015-11-05,-1老, , , , , , ,2015-10-21,-1老,2015-11-04,-1老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
器亲,2016, , ,2016-09-12,2老,2016-09-23,0老,2016-10-27,2老,2016-11-08,2老, , ,2016-10-27, ,2016-11-08, ,2016-10-26,4老,2016-11-06,1老, , , , , , ,2016-12-08,-5老,2017-02-14,-10老, , , , , , 
器亲,2017, , ,2017-09-18,8老,2017-09-25,2老,2017-10-26,1老,2017-11-07,1老, , , , , , ,2017-10-24,2老,2017-11-05,0老, , , , , , ,2017-11-21,-22老,2018-03-10,14老, , , , , , 
器亲,2018, , ,2018-09-18,8老,2018-09-25,2老,2018-10-24,-1老,2018-11-06,0老, , , , , , ,2018-10-23,1老,2018-11-03,-2老, , , , , , ,2018-12-12,-1老,2018-12-17,-69老, , , , , , 
器亲,2019, , ,2019-09-24,14老,2019-10-04,11老,2019-11-01,7老,2019-11-12,6老, , , , , , ,2019-10-30,8老,2019-11-11,6老, , , , , , ,2019-11-29,-14老,2020-02-29,5老, , , , , , 
器亲,2020, , ,2020-09-20,10老,2020-10-03,10老,2020-10-28,3老,2020-11-07,1老, , , , , , ,2020-10-25,3老,2020-11-13,8老, , , , , , ,2020-12-06,-7老,2021-04-11,46老, , , , , , 
器亲,2021, , ,2021-09-09,-1老,2021-09-14,-9老,2021-10-25,0老,2021-11-03,-3老, , , , , , ,2021-10-20,-2老,2021-11-01,-4老, , , , , , ,2021-11-17,-26老,2022-02-13,-11老, , , , , , 
器亲,2022, , ,2022-09-10,0老,2022-09-15,-8老,2022-10-19,-6老,2022-11-01,-5老, , , , , , ,2022-10-19,-3老,2022-11-04,-1老, , , , , , ,2022-11-18,-25老,2023-02-22,-2老, , , , , , 
器亲,2023, , ,2023-09-12,2老,2023-09-21,-2老,2023-10-28,3老,2023-11-04,-2老, , , , , , ,2023-10-31,9老,2023-11-15,10老, , , , , , ,2023-12-01,-12老,2024-03-27,32老, , , , , , 
堡林,2004, , ,2004-09-11,2老, , ,2004-10-23,-3老,2004-10-30,-6老, , , , , , ,2004-10-29,1老,2004-11-04,-4老, , , , , , ,2004-11-07,2老,2005-04-16,13老,2004-10-25,4老, , ,2004-11-01,-3老
堡林,2005, , ,2005-09-28,19老, , ,2005-10-28,2老,2005-11-10,5老, , , , , , ,2005-10-28,0老,2005-11-07,-1老, , , , , , ,2005-11-16,11老,2006-03-25,-9老,2005-10-31,10老, , ,2005-11-07,3老
堡林,2006, , ,2006-09-12,3老, , ,2006-10-19,-7老,2006-11-05,0老, , , , , , ,2006-10-19,-9老,2006-11-04,-4老, , , , , , ,2006-11-08,3老,2007-04-09,6老,2006-10-18,-3老, , ,2006-11-04,0老
堡林,2007, , ,2007-09-29,20老, , ,2007-10-20,-6老,2007-11-05,0老, , , , , , ,2007-10-20,-8老,2007-11-05,-3老, , , , , , ,2007-11-17,12老,2008-04-03,0老,2007-10-17,-4老, , ,2007-11-04,0老
堡林,2008, , ,2008-09-18,9老, , ,2008-10-24,-2老,2008-11-04,-1老, , , , , , ,2008-10-25,-3老,2008-11-05,-3老, , , , , , ,2008-11-13,8老,2009-04-02,-1老,2008-10-23,2老, , ,2008-11-04,0老
堡林,2009, , ,2009-09-20,11老, , ,2009-10-30,4老,2009-11-09,4老, , , , , , ,2009-10-26,-2老,2009-11-07,-1老, , , , , , ,2009-11-17,12老,2010-04-17,14老,2009-10-21,0老, , ,2009-11-15,11老
堡林,2010, , ,2010-09-15,6老, , ,2010-10-25,-1老,2010-11-02,-3老, , , , , , ,2010-10-28,0老,2010-11-05,-3老, , , , , , ,2010-10-27,-9老,2011-04-01,-2老,2010-10-18,-3老, , ,2010-11-08,4老
堡林,2011, , ,搬螟,—, , ,2011-10-26,0老,2011-10-31,-5老, , , , , , ,2011-11-03,6老,2011-11-22,14老, , , , , , ,2011-10-26,-10老,2012-04-04,1老,2011-10-20,-1老, , ,2011-11-10,6老
堡林,2012, , ,2012-09-08,-1老, , ,2012-11-04,9老,2012-11-08,3老, , , , , , ,2012-11-08,11老,2012-11-14,6老, , , , , , ,2012-11-02,-3老,2013-04-08,5老,2012-10-22,1老, , ,2012-11-02,-2老
堡林,2013, , ,2013-09-10,1老, , ,2013-11-01,6老,2013-11-07,2老, , , , , , ,2013-10-31,3老,2013-11-12,4老, , , , , , ,2013-11-13,8老,2014-03-24,-10老,2013-10-21,0老, , ,2013-11-06,2老
堡林,2014, , ,2014-09-11,2老, , ,2014-10-22,-4老,2014-11-06,1老, , , , , , ,2014-10-20,-8老,2014-11-05,-3老, , , , , , ,2014-11-04,-1老,2015-03-27,-7老,2014-10-18,-3老, , ,2014-11-03,-1老
堡林,2015,2015-04-23,15老,2015-09-11,2老,2015-09-20,-6老,2015-10-23,-3老,2015-11-03,-2老, , , , , , ,2015-11-01,4老,2015-11-25,17老, , , , , , ,2015-12-01,26老,2016-03-27,-7老,2015-10-19,-2老, , ,2015-11-06,2老
堡林,2016, , ,2016-09-15,6老,2016-09-22,-4老,2016-11-01,6老,2016-11-08,3老, , , , , , ,2016-11-01,4老,2016-11-08,0老, , , , , , ,2016-11-02,-3老,2017-03-22,-12老,2016-10-14,-7老, , ,2016-11-01,-3老
堡林,2017, , ,2017-09-14,5老,2017-09-21,-5老,2017-11-06,11老,2017-11-10,5老, , , , , , ,2017-11-02,5老,2017-11-06,-2老, , , , , , ,2017-10-31,-5老,2018-04-08,5老,2017-10-20,-1老, , ,2017-11-02,-2老
堡林,2018, , ,2018-09-24,15老,2018-09-30,4老,2018-10-25,-1老,2018-10-30,-6老, , , , , , ,2018-10-21,-7老,2018-10-30,-9老, , , , , , ,2018-11-01,-4老,2019-04-15,12老,2018-10-18,-3老, , ,2018-10-30,-5老
堡林,2019, , ,2019-09-20,11老,2019-10-01,5老,2019-11-07,12老,2019-11-13,8老, , , , , , ,2019-11-12,15老,2019-11-21,13老, , , , , , ,2019-11-08,3老,2020-04-06,3老,2019-10-21,0老, , ,2019-11-06,2老
堡林,2020, , ,2020-09-29,20老,2020-10-06,10老,2020-10-27,1老,2020-11-07,2老, , , , , , ,2020-10-29,1老,2020-11-09,1老, , , , , , ,2020-11-05,0老,2021-03-03,-31老,2020-10-20,-1老, , ,2020-11-04,0老
堡林,2021, , ,2021-09-28,19老,2021-10-08,12老,2021-11-01,6老,2021-11-12,7老, , , , , , ,2021-11-06,9老,2021-11-15,7老, , , , , , ,2021-11-17,12老,2022-03-24,-10老,2021-10-29,8老, , ,2021-11-05,1老
堡林,2022, , ,2022-10-04,25老,2022-10-10,14老,2022-11-02,7老,2022-11-10,5老, , , , , , ,2022-11-10,13老,2022-11-13,5老, , , , , , ,2022-10-19,-17老,2023-04-27,24老,2022-10-24,3老, , ,2022-11-03,-1老
堡林,2023, , ,2023-09-19,10老,2023-09-29,3老,2023-11-06,11老,2023-11-14,9老, , , , , , ,2023-11-08,11老,2023-11-15,7老, , , , , , ,2023-11-08,3老,2024-03-30,-4老,2023-10-18,-3老, , ,2023-10-29,-6老
措备,2004,2004-03-28,-14老,2004-09-09,1老, , ,2004-10-25,0老,2004-11-02,-1老, , , , , , ,2004-10-25,-1老,2004-11-02,-3老, , , , , , ,2004-11-13,9老,2005-02-25,-22老,2004-10-14,-3老, , ,2004-10-22,-6老
措备,2005, , ,2005-09-09,1老, , ,2005-10-22,-3老,2005-10-31,-3老, , , , , , ,2005-10-23,-3老,2005-10-30,-6老, , , , , , ,2005-10-23,-12老,2006-02-21,-26老,2005-10-13,-4老, , ,2005-10-23,-5老
措备,2006, , ,2006-09-10,2老, , ,2006-10-24,-1老,2006-11-10,7老, , , , , , ,2006-10-26,0老,2006-11-12,7老, , , , , , ,2006-11-07,3老,2007-03-18,-1老,2006-10-17,0老, , ,2006-10-28,0老
措备,2007, , ,2007-09-08,0老, , ,2007-10-27,2老,2007-11-02,-1老, , , , , , ,2007-10-29,3老,2007-11-04,-1老, , , , , , ,2007-11-25,21老,2008-03-21,2老,2007-10-16,-1老, , ,2007-10-24,-4老
措备,2008, , ,2008-09-09,1老, , ,2008-10-15,-10老,2008-11-06,3老, , , , , , ,2008-10-31,5老,2008-11-07,2老, , , , , , ,2008-11-27,23老,2009-02-28,-19老,2008-10-17,0老, , ,2008-10-25,-3老
措备,2009, , ,2009-09-02,-6老, , ,2009-10-23,-2老,2009-10-30,-4老, , , , , , ,2009-10-24,-2老,2009-10-31,-5老, , , , , , ,2009-11-23,19老,2010-04-17,29老,2009-10-17,0老, , ,2009-10-27,-1老
措备,2010, , ,2010-09-09,1老, , ,2010-10-25,0老,2010-11-05,2老, , , , , , ,2010-11-01,6老,2010-11-09,4老, , , , , , ,2010-10-27,-8老,2011-02-23,-24老,2010-10-21,4老, , ,2010-10-30,2老
措备,2011, , ,2011-09-06,-2老, , ,2011-10-25,0老,2011-11-03,0老, , , , , , ,2011-10-30,4老,2011-11-12,7老, , , , , , ,2011-10-26,-9老,2012-02-28,-20老,2011-10-20,3老, , ,2011-10-31,3老
措备,2012, , ,2012-09-10,2老, , ,2012-10-26,1老,2012-11-03,0老, , , , , , ,2012-10-26,0老,2012-11-03,-2老, , , , , , ,2012-11-02,-2老,2013-03-15,-4老,2012-10-16,-1老, , ,2012-10-26,-2老
措备,2013, , ,2013-09-21,13老, , ,2013-11-01,7老,2013-11-08,5老, , , , , , ,2013-11-01,6老,2013-11-08,3老, , , , , , ,2013-11-13,9老,2014-03-22,3老,2013-10-25,8老, , ,2013-11-04,7老
措备,2014, , , , , , ,2014-11-05,11老,2014-11-13,10老, , , , , , ,2014-11-05,10老,2014-11-13,8老, , , , , , ,2014-11-05,1老,2015-03-08,-11老,2014-10-14,-3老, , ,2014-10-29,1老
措备,2015, , ,2015-09-05,-3老,2015-09-20,1老,2015-10-24,-1老,2015-11-05,2老, , , , , , ,2015-10-24,-2老,2015-11-05,0老, , , , , , ,2015-10-31,-4老,2016-03-15,-4老,2015-10-13,-4老, , ,2015-10-28,0老
措备,2016, , ,2016-09-08,0老,2016-09-24,5老,2016-10-20,-5老,2016-10-27,-7老, , , , , , ,2016-10-27,1老,2016-11-01,-4老, , , , , , ,2016-11-03,-1老,2017-02-27,-20老,2016-10-18,1老, , ,2016-11-02,5老
措备,2017, , ,2017-09-15,7老,2017-09-21,2老,2017-10-24,-1老,2017-10-30,-4老, , , , , , ,2017-10-25,-1老,2017-11-06,1老, , , , , , ,2017-10-31,-4老,2018-03-23,4老,2017-10-16,-1老, , ,2017-10-27,-1老
措备,2018, , ,2018-09-22,14老,2018-09-26,7老,2018-10-19,-6老,2018-10-27,-7老, , , , , , ,2018-10-20,-6老,2018-11-05,0老, , , , , , ,2018-11-01,-3老,2019-04-15,27老,2018-10-15,-2老, , ,2018-10-25,-3老
措备,2019, , ,2019-09-13,5老,2019-09-25,6老,2019-10-23,-2老,2019-11-09,6老, , , , , , ,2019-10-24,-2老,2019-11-15,10老, , , , , , ,2019-11-08,4老,2020-04-14,26老,2019-10-21,4老, , ,2019-11-01,4老
措备,2020, , ,2020-09-07,-1老,2020-09-19,0老,2020-10-16,-9老,2020-10-29,-5老, , , , , , ,2020-10-31,5老,2020-11-14,9老, , , , , , ,2020-11-05,1老,2021-04-10,22老,2020-10-15,-2老, , ,2020-10-27,-1老
措备,2021, , ,2021-09-14,6老,2021-10-08,19老,2021-10-27,2老,2021-11-09,6老, , , , , , ,2021-10-27,1老,2021-11-29,24老, , , , , , ,2021-10-18,-17老,2022-04-17,29老,2021-10-22,5老, , ,2021-11-04,7老
措备,2022, , ,2022-09-14,6老,2022-09-24,5老,2022-10-21,-4老,2022-10-30,-4老, , , , , , ,2022-10-30,4老,2022-11-06,1老, , , , , , ,2022-10-19,-16老,2023-03-28,9老,2022-10-19,2老, , ,2022-11-01,4老
措备,2023, , ,2023-09-11,3老,2023-09-19,0老,2023-10-20,-5老,2023-11-07,4老, , , , , , ,2023-11-07,12老,2023-11-15,10老, , , , , , ,2023-11-08,4老,2024-03-21,2老,2023-10-18,1老, , ,2023-10-30,2老
措备(扁),2013, , , , , , ,2013-11-01, ,2013-11-08, , , , , , , ,2013-11-01, ,2013-11-08, , , , , , , ,2013-11-13, ,2014-03-22, ,2013-10-25, , , ,2013-11-04, 
措备(扁),2014, , , , , , ,2014-11-05, ,2014-11-13, , , , , , , ,2014-11-05, ,2014-11-13, , , , , , , ,2014-11-05, ,2015-03-08, ,2014-10-14, , , ,2014-10-29, 
措傈,2004, , ,2004-09-04,2老, , ,2004-10-16,-7老,2004-10-28,-4老, , , , , , ,2004-10-16,-9老,2004-10-28,-6老, , , , , , ,2004-10-27,-1老,2005-04-04,0老,2004-10-12,-4老, , ,2004-10-25,-2老
措傈,2005, , ,2005-09-09,7老, , ,2005-10-17,-6老,2005-10-27,-5老, , , , , , ,2005-10-17,-8老,2005-10-27,-7老, , , , , , ,2005-10-23,-5老,2006-03-20,-15老,2005-10-14,-2老, , ,2005-10-26,-1老
措傈,2006, , ,2006-09-10,8老, , ,2006-10-24,1老,2006-10-30,-2老, , , , , , ,2006-10-24,-1老,2006-10-30,-4老, , , , , , ,2006-11-12,15老,2007-04-05,1老,2006-10-13,-3老, , ,2006-10-25,-2老
措傈,2007, , ,2007-09-13,11老, , ,2007-10-27,4老,2007-11-03,2老, , , , , , ,2007-10-27,2老,2007-11-03,0老, , , , , , ,2007-11-04,7老,2008-03-15,-20老,2007-10-19,3老, , ,2007-11-02,6老
措傈,2008, , ,2008-09-10,8老, , ,2008-10-24,1老,2008-11-02,1老, , , , , , ,2008-10-24,-1老,2008-11-02,-1老, , , , , , ,2008-11-04,7老,2009-04-02,-2老,2008-10-23,7老, , ,2008-11-01,5老
措傈,2009, , ,2009-08-31,-2老, , ,2009-10-21,-2老,2009-10-31,-1老, , , , , , ,2009-10-21,-4老,2009-10-31,-3老, , , , , , ,2009-11-03,6老,2010-04-17,13老,2009-10-14,-2老, , ,2009-10-25,-2老
措傈,2010, , ,2010-09-14,12老, , ,2010-10-23,0老,2010-11-07,6老, , , , , , ,2010-10-23,-2老,2010-11-07,4老, , , , , , ,2010-10-27,-1老,2011-04-12,8老,2010-10-18,2老, , ,2010-10-29,2老
措傈,2011, , ,2011-09-02,0老, , ,2011-10-26,3老,2011-11-01,0老, , , , , , ,2011-10-26,1老,2011-11-01,-2老, , , , , , ,2011-10-18,-10老,2012-03-27,-8老,2011-10-17,1老, , ,2011-10-26,-1老
措傈,2012, , ,2012-09-06,4老, , ,2012-10-23,0老,2012-10-29,-3老, , , , , , ,2012-10-23,-2老,2012-10-29,-5老, , , , , , ,2012-10-18,-10老,2013-04-13,9老,2012-10-16,0老, , ,2012-10-26,-1老
措傈,2013, , ,2013-09-03,1老, , ,2013-10-21,-2老,2013-11-01,0老, , , , , , ,2013-10-21,-4老,2013-11-01,-2老, , , , , , ,2013-11-12,15老,2014-04-06,2老,2013-10-16,0老, , ,2013-10-30,3老
措傈,2014, , ,2014-09-20,18老, , ,2014-10-20,-3老,2014-11-03,2老, , , , , , ,2014-10-20,-5老,2014-11-03,0老, , , , , , ,2014-10-28,0老,2015-03-24,-11老,2014-10-13,-3老, , ,2014-10-24,-3老
措傈,2015, , ,2015-09-14,12老,2015-09-18, ,2015-10-19,-4老,2015-10-30,-2老, , , , , , ,2015-10-19,-6老,2015-10-30,-4老, , , , , , ,2015-10-31,3老,2016-03-27,-8老,2015-10-13,-3老, , ,2015-10-26,-1老
措傈,2016, , ,2016-09-29,27老,2016-10-04, ,2016-10-27,4老,2016-11-03,2老, , , , , , ,2016-10-21,-4老,2016-11-02,-1老, , , , , , ,2016-10-30,2老,2017-03-28,-7老,2016-10-14,-2老, , ,2016-10-31,4老
措傈,2017, , ,2017-09-13,11老,2017-09-23, ,2017-10-27,4老,2017-11-06,5老, , , , , , ,2017-10-27,2老,2017-11-05,2老, , , , , , ,2017-10-30,2老,2018-04-08,4老,2017-10-13,-3老, , ,2017-10-27,0老
措傈,2018, , ,2018-09-14,12老,2018-09-18, ,2018-10-27,4老,2018-11-06,5老, , , , , , ,2018-10-19,-6老,2018-11-01,-2老, , , , , , ,2018-10-30,2老,2019-04-06,2老,2018-10-11,-5老, , ,2018-10-25,-2老
措傈,2019, , ,2019-09-10,8老,2019-09-17, ,2019-11-03,11老,2019-11-08,7老, , , , , , ,2019-10-28,3老,2019-11-13,10老, , , , , , ,2019-11-08,11老,2020-04-06,2老,2019-10-17,1老, , ,2019-10-28,1老
措傈,2020, , ,2020-09-04,2老,2020-09-15, ,2020-10-27,4老,2020-11-03,2老, , , , , , ,2020-10-30,5老,2020-11-10,7老, , , , , , ,2020-10-30,2老,2021-04-15,11老,2020-10-15,-1老, , ,2020-10-26,-1老
