瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
柳档(梅蔓魂),2012,2012-04-12,0老,2012-10-21,3老, , , , ,2012-04-15,5老, , , , , , ,2012-04-02,-3老, , , , , , ,2012-04-02,5老, , , , , , ,2012-07-02,16老, , , , , , , , , , ,2012-04-15,14老, , , , , , ,2012-06-06,29老, , , , , , ,2012-07-16,0老,2012-10-03,4老, , , , , , , , , , ,2012-09-19,25老, , ,2012-03-14,23老,2012-04-06,30老, , ,2012-03-20,9老,2012-04-09,18老, , ,2012-03-22,9老,2012-04-09,17老, , ,2012-03-26,9老,2012-04-12,11老, , ,2012-04-05,-7老,2012-05-15,7老, , ,2012-04-09,14老,2012-04-28,18老, , ,2012-03-27,2老,2012-04-17,6老, , ,2012-10-29,2老,2012-11-09,0老, , , , , , ,2012-11-03,6老,2012-11-12,2老, , , , , , ,2012-11-02,-18老,2013-03-21,12老,2012-11-25,7老,2013-04-10,8老,2012-11-13,-11老,2013-02-12,-31老, , , , , , , , , , , , , , , , , , , , , , , , 
柳档(梅蔓魂),2013,2013-04-24,12老,2013-10-22,4老, , , , ,2013-04-05,-5老, , , , , , ,2013-03-21,-15老, , , , , , ,2013-03-19,-9老, , , , , , ,2013-05-06,-41老, , , , , , , , , , ,2013-03-19,-13老, , , , , , ,2013-05-12,4老, , , , , , ,2013-07-10,-6老,2013-10-01,2老,包螟 救凳,—, , , , , , , , ,2013-09-09,15老, , ,2013-02-15,-5老,2013-03-13,6老, , ,2013-03-06,-5老,2013-03-17,-5老, , ,2013-03-11,-2老,2013-03-18,-5老, , ,2013-03-12,-5老,2013-04-01,0老, , ,2013-04-09,-3老,2013-05-16,8老, , ,2013-03-30,4老,2013-04-09,-1老, , ,2013-03-29,4老,2013-04-08,-3老, , ,2013-11-01,5老,2013-11-14,5老, , , , , , ,2013-11-01,4老,2013-11-13,3老, , , , , , ,2013-11-13,-7老,2014-03-09,0老,2013-11-18,0老,2014-03-21,-12老,2013-11-18,-6老,2014-03-14,-1老, , , , , , , , , , , , , , , , , , , , , , , , 
柳档(梅蔓魂),2014, , , , , , , , , , , , , , , , , , , , , , , , ,2014-03-18,-10老, , , , , , ,2014-05-02,-45老, , , , , , , , , , ,2014-03-21,-11老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2014-02-11,-9老,2014-03-06,-1老, , ,2014-03-03,-8老,2014-03-16,-6老, , ,2014-03-11,-2老,2014-03-17,-6老, , ,2014-03-19,2老,2014-03-29,-3老, , ,2014-05-01,19老,2014-05-06,-2老, , ,2014-03-26,0老,2014-04-07,-3老, , ,2014-03-25,0老,2014-04-06,-5老, , , , , , , , , , , , , , , , , , , , , , ,2014-11-20,0老, , ,2014-12-01,13老, , ,2014-12-01,7老, , , , , , , , , , , , , , , , , , , , , , , , , , 
柳档(梅蔓魂),2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , ,2015-02-20,0老,2015-03-03,-4老, , ,2015-03-12,1老,2015-03-19,-3老, , ,2015-03-13,0老,2015-03-20,-3老, , ,2015-03-17,0老,2015-03-26,-6老, , ,2015-04-07,-5老, , , , ,2015-03-20,-6老,2015-04-03,-7老,2015-04-07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
秦巢,2005,2005-04-02,-7老,2005-10-14,-5老, , , , ,2005-04-02,0老, , , , , , ,2005-04-01,-1老, , , , , , ,2005-03-09,-11老, , , , , , ,2005-05-04,-12老, , , , , , , , , , ,2005-04-24,5老, , , , , , ,2005-04-27,-2老, , , , , , ,2005-07-12,-2老,2005-09-28,10老, , , , , , , , , , ,2005-09-17,2老, , ,2005-02-23,12老,2005-03-20,17老, , ,2005-03-31,17老,2005-04-05,10老, , ,2005-04-02,18老,2005-04-07,14老, , ,2005-04-06,14老,2005-04-09,4老, , ,2005-04-10,3老,2005-05-10,0老, , ,2005-04-05,16老,2005-04-11,8老, , ,2005-04-06,13老,2005-04-13,4老, , ,2005-11-02,3老,2005-11-15,4老, , , , , , ,2005-11-01,3老,2005-11-15,4老, , , , , , ,2005-10-17,-14老,2006-04-17,-1老,2005-11-01,-5老,2006-04-03,-6老,2005-12-04,-1老,2006-03-28,23老,2005-12-04,-9老,2006-03-28,20老,2005-12-17,-21老,2006-02-19,0老,2005-11-01,4老, , ,2005-11-15,5老, , , , , , , , , , 
秦巢,2006,2006-04-05,-4老,2006-10-25,6老, , , , ,2006-04-11,9老, , , , , , ,2006-04-05,3老, , , , , , ,2006-03-17,-3老, , , , , , ,2006-05-09,-7老, , , , , , , , , , ,2006-04-27,8老, , , , , , ,2006-05-11,12老, , , , , , ,2006-07-17,3老,2006-09-20,2老, , , , , , , , , , ,2006-09-19,4老, , ,2006-02-21,10老,2006-03-17,14老, , ,2006-03-15,1老,2006-03-22,-4老, , ,2006-03-17,2老,2006-03-25,1老, , ,2006-03-22,-1老,2006-04-05,0老, , ,2006-04-03,-4老,2006-05-15,5老, , ,2006-03-22,2老,2006-04-05,2老, , ,2006-03-22,-2老,2006-04-11,2老, , ,2006-11-07,8老,2006-11-16,5老, , , , , , ,2006-11-06,8老,2006-11-14,3老, , , , , , ,2006-10-28,-3老,2007-04-29,11老,2006-11-08,2老,2007-04-19,10老,2006-12-02,-3老,2007-03-06,1老,2006-12-04,-9老,2007-03-06,-2老,2006-11-21,-47老,2007-02-18,-1老,2006-11-06,9老, , ,2006-11-15,5老, , , , , , , , , , 
秦巢,2007,2007-04-01,-8老,2007-10-22,3老, , , , ,2007-04-02,0老, , , , , , ,2007-03-31,-2老, , , , , , ,2007-02-27,-21老, , , , , , ,2007-05-08,-8老, , , , , , , , , , ,2007-04-20,1老, , , , , , ,2007-05-10,11老, , , , , , ,2007-07-17,3老,2007-09-21,3老, , , , , , , , , , ,2007-09-17,2老, , ,2007-02-16,5老,2007-02-27,-4老, , ,2007-03-12,-2老,2007-03-21,-5老, , ,2007-03-13,-2老,2007-03-23,-1老, , ,2007-03-19,-4老,2007-03-30,-6老, , ,2007-03-31,-7老,2007-05-10,0老, , ,2007-03-19,-1老,2007-03-31,-3老, , ,2007-03-20,-4老,2007-03-31,-9老, , ,2007-10-29,-1老,2007-11-08,-3老, , , , , , ,2007-10-27,-2老,2007-11-07,-4老, , , , , , ,2007-11-03,3老,2008-03-28,-21老,2007-11-17,11老,2008-03-26,-14老,2007-12-29,24老,2008-02-26,-8老,2007-12-29,16老,2008-02-26,-11老,2007-11-20,-48老,2008-03-13,23老,2007-10-27,-1老, , ,2007-11-05,-5老, , , , , , , , , , 
秦巢,2008,2008-03-31,-9老,2008-10-22,3老, , , , ,2008-03-12,-21老, , , , , , ,2008-03-16,-17老, , , , , , ,2008-03-14,-6老, , , , , , ,2008-05-04,-12老, , , , , , , , , , ,2008-04-18,-1老, , , , , , ,2008-05-08,9老, , , , ,2008-09-25, ,2008-07-16,2老,2008-09-25,7老, , , , , , , , , , ,2008-09-16,1老, , ,2008-02-14,3老,2008-02-25,-7老, , ,2008-03-17,3老,2008-03-25,-1老, , ,2008-03-17,2老,2008-03-27,3老, , ,2008-03-24,1老,2008-04-03,-2老, , ,2008-04-02,-5老,2008-05-06,-4老, , ,2008-03-18,-2老,2008-04-04,1老, , ,2008-03-18,-6老,2008-04-12,3老, , ,2008-10-29,-1老,2008-11-09,-2老, , , , , , ,2008-10-27,-2老,2008-11-06,-5老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-27,-1老, , ,2008-11-06,-4老, , , , , , , , , , 
秦巢,2009, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2009-10-28,-1老,2009-11-09,-2老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2009-10-25,-3老, , ,2009-11-10,0老, , , , , , , , , , 
秦巢,2010, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2010-10-25,-3老, , ,2010-11-08,-2老, , , , , , , , , , 
秦巢,2011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2011-10-31,3老, , ,2011-11-08,-2老, , , , , , , , , , 
秦巢,2012, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2012-10-26,-2老, , ,2012-11-06,-4老, , , , , , , , , , 
秦巢,2013, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2013-10-30,2老, , ,2013-11-13,3老, , , , , , , , , , 
秦巢,2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2014-10-30,2老, , ,2014-11-12,2老, , , , , , , , , , 
秦巢,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-27,-1老, , ,2015-11-06,-4老, , , , , , , , , , 
秦巢,2016, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-10-19,-9老, , ,2016-11-04,-6老, , , , , , , , , , 
秦巢,2017, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-10-23,-5老, , ,2017-11-04,-6老, , , , , , , , , , 
秦巢,2018, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-19,-9老, , ,2018-11-02,-8老, , , , , , , , , , 
秦巢,2019, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-22,-6老, , ,2019-11-11,1老, , , , , , , , , , 
秦巢,2020, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-23,-5老, , ,2020-11-06,-4老, , , , , , , , , , 
秦巢,2021, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-26,-2老, , ,2021-11-10,0老, , , , , , , , , , 
秦巢,2022, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-25,-3老, , ,2022-11-08,-2老, , , , , , , , , , 
秦巢,2023, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-26,-2老, , , , , , , , , , , , , , 
孺魂档,2005,2005-03-28,-5老,2005-10-12,4老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2005-04-22,-3老, , , , , , ,2005-06-02,-19老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2005-07-12,1老,2005-09-08,-16老, , , , , , , , , , ,2005-08-25,0老, , ,2005-03-29,20老,2005-04-04,10老, , ,2005-03-30,18老,2005-04-06,10老, , ,2005-03-30,18老,2005-04-06,11老, , ,2005-04-03,16老,2005-04-12,6老, , ,2005-05-02,7老,2005-05-19,-3老, , ,2005-04-03,14老,2005-04-20,8老, , ,2005-04-08,19老,2005-04-20,8老, , , , , , , , , , , , , , , , , , , , , , ,2005-12-24,-10老,2006-03-31,35老,2005-12-04,-17老,2006-03-14,14老,2005-12-04,3老,2006-03-28,23老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2006,2006-03-31,-2老,2006-10-21,13老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2006-04-12,-13老, , , , , , ,2006-06-13,-8老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2006-07-15,4老,2006-09-27,3老, , , , , , , , , , ,2006-08-29,4老, , ,2006-03-24,15老,2006-04-02,8老, , ,2006-03-14,2老,2006-03-31,4老, , ,2006-03-09,-3老,2006-03-15,-11老, , ,2006-03-28,10老,2006-04-09,3老, , ,2006-05-07,12老,2006-05-18,-4老, , ,2006-04-03,14老,2006-04-15,3老, , ,2006-04-03,14老,2006-04-15,3老, , , , , , , , , , , , , , , , , , , , , , ,2007-02-03,31老,2007-02-12,-12老,2006-12-17,-4老,2007-03-11,11老,2006-12-02,1老,2007-03-07,2老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2007,2007-04-15,13老,2007-10-17,9老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2007-03-30,-26老, , , , , , ,2007-06-22,1老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2007-06-29,-12老,2007-09-22,-2老, , , , , , , , , , ,2007-08-21,-4老, , ,2007-03-07,-2老,2007-04-02,8老, , ,2007-03-07,-5老,2007-03-25,-2老, , ,2007-03-05,-7老,2007-03-12,-14老, , ,2007-03-20,2老,2007-04-05,-1老, , ,2007-05-09,14老,搬螟,—, , ,2007-03-29,9老,搬螟,—, , ,2007-03-25,5老,搬螟,—, , , , , , , , , , , , , , , , , , , , , , ,2007-11-25,-39老,2008-03-06,11老,2007-12-30,9老,2008-02-28,0老,2007-12-04,3老,2008-02-17,-17老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2008,2008-04-22,20老,2008-09-24,-14老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2008-04-08,-17老, , , , , , ,2008-07-17,26老, , , , , , , , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2008-07-15,4老,2008-09-16,-8老,包螟 救凳,—, , , , , , , , ,2008-08-14,-11老, , ,2008-03-13,4老,2008-04-04,10老, , ,2008-03-10,-2老,2008-03-28,1老, , ,2008-03-10,-2老,2008-03-16,-10老, , ,2008-03-14,-4老,2008-04-01,-5老, , ,2008-04-03,-22老,2008-05-08,-14老, , ,2008-03-16,-4老,2008-04-08,-4老, , ,2008-03-19,-1老,2008-04-07,-5老, , , , , , , , , , , , , , , , , , , , , , ,2008-12-16,-17老,2008-12-19,-66老,2008-12-05,-16老,2009-03-03,3老,2008-11-18,-13老,2009-03-03,-2老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2009,2009-03-26,-7老,2009-09-25,-13老, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2009-03-22,-34老, , , , , , ,2009-06-30,9老, , , , , , , , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2009-07-16,5老,2009-09-22,-2老,包螟 救凳,—, , , , , , , , ,2009-08-03,-22老, , ,2009-03-09,0老,2009-04-03,9老, , ,2009-03-08,-4老,2009-03-19,-8老, , ,2009-03-09,-3老,2009-03-17,-9老, , ,2009-03-20,2老,2009-04-02,-4老, , ,2009-04-07,-18老,2009-05-12,-10老, , ,2009-03-19,-1老,2009-04-06,-6老, , ,2009-03-13,-7老,2009-04-02,-10老, , , , , , , , , , , , , , , , , , , , , , ,2009-12-29,-5老,2010-03-17,21老,2009-12-17,-4老,2010-03-11,11老,2009-11-17,-14老,2010-04-14,40老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2010,2010-03-29,-4老,2010-09-18,-20老, , , , ,2010-07-01, , , , , , , ,2010-04-21, , , , , , , ,2010-03-30,-26老, , , , , , ,2010-07-07,16老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , , , , , ,2010-07-20,9老,2010-09-20,-4老,包螟 救凳,—, , , , , , , , ,2010-08-01,-24老, , ,2010-03-11,2老,2010-03-29,4老, , ,2010-03-09,-3老,2010-03-25,-2老, , ,2010-03-13,1老,2010-03-30,4老, , ,2010-03-17,-1老,2010-04-04,-2老, , ,2010-04-12,-13老,2010-05-25,3老, , ,2010-03-15,-5老,2010-04-13,1老, , ,2010-03-15,-5老,2010-04-05,-7老, , , , , , , , , , , , , , , , , , , , , , ,2011-01-14,11老,2011-02-22,-2老,2010-12-15,-6老,2011-02-17,-11老,2010-12-14,13老,2011-03-16,11老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2011,2011-04-05,3老,2011-09-22,-16老, , , , ,2011-06-02, , , , , , , ,2011-04-15, , , , , , , ,2011-04-06,-19老, , , , , , ,2011-06-10,-11老, , , , , , , , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2011-07-04,-7老,2011-09-28,4老,包螟 救凳,—, , ,包螟 救凳,—, , , , ,2011-08-12,-13老, , ,2011-03-15,6老,2011-04-05,11老, , ,2011-03-12,0老,2011-03-30,3老, , ,2011-03-10,-2老,2011-03-30,4老, , ,2011-03-21,3老,2011-04-13,7老, , ,2011-04-21,-4老,2011-06-02,11老, , ,2011-03-26,6老,2011-04-27,15老, , ,2011-03-18,-2老,2011-04-25,13老, , , , , , , , , , , , , , , , , , , , , , ,2012-02-20,48老,2012-03-27,32老,2011-12-16,-5老,2012-03-12,13老,2011-12-08,7老,2012-03-12,7老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2012,2012-04-06,4老,包螟 救凳,—, , ,2012-09-25, ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2012-04-16,-9老, , , , , , ,2012-06-05,-16老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2012-07-19,8老,2012-09-25,1老,包螟 救凳,—, , , , , , , , ,2012-08-20,-5老, , ,2012-03-30,21老,2012-04-24,30老, , ,2012-03-26,14老,2012-04-04,8老, , ,2012-03-28,16老,2012-04-08,13老, , ,2012-03-30,12老,2012-04-17,11老, , ,2012-04-28,3老,2012-05-31,9老, , ,2012-03-30,10老,2012-04-25,13老, , ,2012-04-10,21老,2012-04-30,18老, , , , , , , , , , , , , , , , , , , , , , ,2013-01-29,26老,2013-01-29,-26老,2012-12-06,-15老,2013-02-08,-20老,2012-12-04,3老,2013-02-09,-24老, , , , , , , , , , , , , , , , , , , , , , , , 
孺魂档,2013,2013-04-08,6老,包螟 救凳,—, , , , ,2013-06-07, , , , , , , ,包螟 救凳,—, , , , , , ,2013-04-10,-15老, , , , , , ,2013-06-19,-2老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , ,包螟 救凳,—, , , , , , ,2013-07-17,6老,2013-09-28,4老,包螟 救凳,—, , , , , , , , ,2013-08-17,-8老, , ,2013-03-11,2老,2013-03-27,2老, , ,2013-03-14,2老,2013-03-16,-11老, , ,2013-03-10,-2老,2013-03-18,-8老, , ,2013-03-22,4老,2013-04-10,4老, , ,2013-04-26,1老,2013-05-19,-3老, , ,2013-03-21,1老,2013-04-10,-2老, , ,2013-03-18,-2老,2013-04-21,9老, , , , , , , , , , , , , , , , , , , , , , ,2013-12-07,-27老,2014-02-15,-9老,2013-12-28,7老,2014-02-06,-22老,2013-11-18,-13老,2014-02-06,-27老, , , , , , , , , , , , , , , , , , , , , , , , 
